"runID","taskID","Collection","PostProcessed","AUC","partialAUC","EER","ROCpoints"
1,"manipulation","Nimble-WEB","rescale",0.5197,0.1656,0.464,"{""fpr"":[0,0,0,0.005,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.015,0.02,0.025,0.025,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1,0.105,0.11,0.115,0.12,0.125,0.13,0.135,0.14,0.145,0.15,0.155,0.155,0.155,0.155,0.16,0.16,0.16,0.16,0.16,0.165,0.165,0.165,0.17,0.17,0.17,0.175,0.175,0.175,0.175,0.18,0.18,0.18,0.18,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.19,0.19,0.195,0.195,0.195,0.2,0.205,0.21,0.215,0.22,0.22,0.225,0.23,0.235,0.24,0.245,0.25,0.25,0.255,0.255,0.26,0.26,0.265,0.27,0.275,0.28,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.31,0.315,0.315,0.32,0.32,0.32,0.32,0.325,0.33,0.33,0.33,0.335,0.34,0.345,0.345,0.345,0.35,0.35,0.35,0.35,0.35,0.35,0.355,0.355,0.36,0.36,0.365,0.37,0.37,0.37,0.375,0.375,0.375,0.38,0.385,0.385,0.39,0.395,0.4,0.405,0.41,0.41,0.41,0.41,0.415,0.415,0.415,0.415,0.42,0.42,0.42,0.42,0.42,0.42,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.43,0.43,0.435,0.435,0.44,0.445,0.45,0.455,0.46,0.465,0.465,0.465,0.47,0.47,0.475,0.475,0.48,0.48,0.485,0.49,0.5,0.505,0.505,0.505,0.505,0.51,0.51,0.515,0.515,0.52,0.52,0.52,0.52,0.525,0.53,0.535,0.54,0.545,0.545,0.55,0.55,0.555,0.56,0.96,0.965,0.965,0.97,0.97,0.97,0.97,0.975,0.98,0.985,0.985,0.99,0.99,0.99,0.995,1],""tpr"":[0.0062,0.0123,0.0185,0.0185,0.0247,0.0247,0.0309,0.037,0.0432,0.0494,0.0556,0.0556,0.0617,0.0679,0.0679,0.0679,0.0741,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0802,0.0864,0.0926,0.0988,0.0988,0.1049,0.1111,0.1173,0.1235,0.1235,0.1296,0.1358,0.1358,0.142,0.1481,0.1481,0.1543,0.1605,0.1667,0.1667,0.1728,0.179,0.1852,0.1852,0.1914,0.1975,0.2037,0.2099,0.216,0.2222,0.2222,0.2284,0.2284,0.2346,0.2407,0.2407,0.2407,0.2407,0.2407,0.2407,0.2469,0.2469,0.2469,0.2469,0.2469,0.2469,0.2469,0.2531,0.2531,0.2593,0.2593,0.2654,0.2654,0.2654,0.2654,0.2654,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716,0.2716,0.2778,0.2778,0.284,0.284,0.2901,0.2963,0.3025,0.3025,0.3025,0.3086,0.3148,0.3148,0.3148,0.3148,0.321,0.3272,0.3272,0.3333,0.3395,0.3457,0.3519,0.358,0.358,0.3642,0.3642,0.3704,0.3704,0.3704,0.3765,0.3827,0.3827,0.3889,0.3951,0.3951,0.3951,0.4012,0.4012,0.4012,0.4012,0.4012,0.4012,0.4074,0.4136,0.4198,0.4198,0.4259,0.4321,0.4383,0.4383,0.4444,0.4506,0.4568,0.463,0.4691,0.4691,0.4753,0.4815,0.4877,0.4938,0.5,0.5062,0.5123,0.5123,0.5185,0.5185,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5247,0.5309,0.537,0.537,0.5432,0.5432,0.5494,0.5494,0.5556,0.5556,0.5556,0.5556,0.5556,0.5617,0.5679,0.5741,0.5741,0.5802,0.5802,0.5864,0.5864,0.5926,0.5988,0.6049,0.6049,0.6049,0.6049,0.6049,0.6049,0.6111,0.6111,0.6173,0.6173,0.6173,0.9568,0.9568,0.963,0.963,0.9691,0.9753,0.9815,0.9815,0.9815,0.9815,0.9877,0.9877,0.9938,1,1,1]}"
2,"manipulation","Nimble-WEB","none",0.6022,0.2508,0.4944,"{""fpr"":[0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.08,0.085,0.085,0.09,0.095,0.1,0.1,0.1,0.105,0.11,0.115,0.115,0.115,0.12,0.125,0.13,0.135,0.14,0.145,0.15,0.15,0.155,0.16,0.165,0.165,0.17,0.175,0.18,0.185,0.19,0.195,0.2,0.205,0.21,0.215,0.22,0.225,0.23,0.235,0.24,0.245,0.25,0.255,0.26,0.265,0.27,0.275,0.275,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.335,0.34,0.345,0.35,0.355,0.36,0.365,0.37,0.375,0.38,0.385,0.385,0.385,0.39,0.395,0.4,0.405,0.41,0.415,0.42,0.425,0.43,0.435,0.44,0.445,0.45,0.455,0.46,0.465,0.47,0.475,0.48,0.485,0.49,0.495,0.5,0.505,0.51,0.515,0.52,0.525,0.53,0.535,0.995,1],""tpr"":[0.037,0.0432,0.0494,0.0556,0.0617,0.0679,0.0741,0.0802,0.0864,0.0926,0.0988,0.1049,0.1111,0.1173,0.1235,0.1296,0.1358,0.142,0.1481,0.1543,0.1605,0.1667,0.1728,0.179,0.1852,0.1914,0.1975,0.2037,0.2099,0.216,0.2222,0.2284,0.2346,0.2407,0.2469,0.2531,0.2593,0.2654,0.2716,0.2778,0.2778,0.284,0.2901,0.2963,0.3025,0.3086,0.3148,0.321,0.3272,0.3333,0.3333,0.3395,0.3457,0.3519,0.358,0.3642,0.3704,0.3765,0.3765,0.3827,0.3889,0.3951,0.4012,0.4074,0.4136,0.4198,0.4259,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4383,0.4383,0.4444,0.4444,0.4444,0.4444,0.4506,0.4568,0.4568,0.4568,0.4568,0.463,0.4691,0.4691,0.4691,0.4691,0.4691,0.4691,0.4691,0.4691,0.4753,0.4753,0.4753,0.4753,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4815,0.4877,0.4877,0.4877,0.4877,0.4877,0.4877,0.4877,0.4877,0.4877,0.4877,0.4877,0.4877,0.4877,0.4938,0.4938,0.4938,0.4938,0.4938,0.4938,0.4938,0.4938,0.4938,0.4938,0.4938,0.5,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,0.5062,1,1]}"
3,"manipulation","Nimble-SCI","rescale",0.5105,0.1424,0.4854,"{""fpr"":[0.0125,0.025,0.0375,0.05,0.05,0.05,0.05,0.05,0.0625,0.075,0.0875,0.1,0.1125,0.125,0.125,0.125,0.125,0.125,0.125,0.1375,0.1375,0.1375,0.1375,0.1375,0.15,0.1625,0.1625,0.175,0.175,0.175,0.175,0.1875,0.2,0.2,0.2,0.2,0.2125,0.2125,0.2125,0.2125,0.2125,0.2125,0.2125,0.2125,0.225,0.225,0.2375,0.2375,0.2375,0.25,0.2625,0.275,0.275,0.275,0.275,0.275,0.2875,0.2875,0.2875,0.2875,0.3,0.3,0.3,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.325,0.325,0.325,0.325,0.3375,0.35,0.3625,0.3625,0.3625,0.3625,0.3625,0.3625,0.3625,0.3625,0.375,0.375,0.375,0.375,0.3875,0.4,0.4,0.4,0.4125,0.425,0.425,0.4375,0.4375,0.45,0.4625,0.475,0.4875,0.5,0.5125,0.5125,0.525,0.975,0.9875,1],""tpr"":[0,0,0,0,0.0083,0.0167,0.025,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0417,0.05,0.0583,0.0667,0.075,0.075,0.0833,0.0917,0.1,0.1083,0.1083,0.1083,0.1167,0.1167,0.125,0.1333,0.1417,0.1417,0.1417,0.15,0.1667,0.175,0.175,0.1833,0.1917,0.2,0.2083,0.2167,0.225,0.2333,0.2333,0.2417,0.2417,0.25,0.2583,0.2583,0.2583,0.2583,0.2667,0.275,0.2833,0.2917,0.2917,0.3,0.3083,0.3167,0.3167,0.325,0.3333,0.3333,0.3417,0.35,0.3583,0.3667,0.375,0.375,0.3833,0.3917,0.4,0.4,0.4,0.4,0.4083,0.4167,0.425,0.4333,0.4417,0.45,0.4583,0.4583,0.4667,0.475,0.4833,0.4833,0.4833,0.4917,0.5,0.5,0.5,0.5083,0.5083,0.5167,0.5167,0.5167,0.5167,0.5167,0.5167,0.5167,0.525,0.525,1,1,1]}"
4,"manipulation","Nimble-SCI","none",0.4375,0.1281,0.6312,"{""fpr"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.025,0.0375,0.05,0.0625,0.075,0.0875,0.1,0.1125,0.125,0.1375,0.15,0.1625,0.175,0.1875,0.2,0.2125,0.225,0.2375,0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,0.375,0.3875,0.4,0.4125,0.425,0.4375,0.45,0.4625,0.475,0.4875,0.5,0.5125,0.9875,1],""tpr"":[0.0083,0.0167,0.025,0.0333,0.0417,0.05,0.0583,0.0667,0.075,0.0833,0.0917,0.1,0.1083,0.1167,0.125,0.1333,0.1417,0.15,0.1583,0.1667,0.175,0.1917,0.2,0.2083,0.2167,0.225,0.2333,0.2417,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,1]}"
